Number,Date,Count
1,1/1/2020,1
2,1/2/2020,0
3,1/3/2020,1
4,1/4/2020,1
5,1/5/2020,0
6,1/6/2020,1
7,1/7/2020,1
8,1/8/2020,1
9,1/9/2020,1
10,1/10/2020,2
11,1/11/2020,0
12,1/12/2020,1
13,1/13/2020,1
14,1/14/2020,1
15,1/15/2020,0
16,1/16/2020,0
17,1/17/2020,1
18,1/18/2020,1
19,1/19/2020,2
20,1/20/2020,1
21,1/21/2020,1
22,1/22/2020,1
23,1/23/2020,0
24,1/24/2020,1
25,1/25/2020,5
26,1/26/2020,1
27,1/27/2020,0
28,1/28/2020,1
29,1/29/2020,1
30,1/30/2020,0
31,1/31/2020,0
32,2/1/2020,1
33,2/2/2020,1
34,2/3/2020,1
35,2/4/2020,2
36,2/5/2020,1
37,2/6/2020,1
38,2/7/2020,1
39,2/8/2020,0
40,2/9/2020,2
41,2/10/2020,1
42,2/11/2020,2
43,2/12/2020,1
44,2/13/2020,1
45,2/14/2020,1
46,2/15/2020,1
47,2/16/2020,1
48,2/17/2020,0
49,2/18/2020,0
50,2/19/2020,2
51,2/20/2020,2
52,2/21/2020,1
53,2/22/2020,1
54,2/23/2020,0
55,2/24/2020,0
56,2/25/2020,0
57,2/26/2020,2
58,2/27/2020,0
59,2/28/2020,1
60,2/29/2020,1
61,3/1/2020,0
62,3/2/2020,1
63,3/3/2020,1
64,3/4/2020,0
65,3/5/2020,?
66,3/6/2020,0
67,3/7/2020,0
68,3/8/2020,1
69,3/9/2020,1
70,3/10/2020,1
71,3/11/2020,1
72,3/12/2020,2
73,3/13/2020,1
74,3/14/2020,1
75,3/15/2020,1
76,3/16/2020,1
77,3/17/2020,0
78,3/18/2020,0
79,3/19/2020,1
80,3/20/2020,0
81,3/21/2020,0
82,3/22/2020,0
83,3/23/2020,0
84,3/24/2020,2
85,3/25/2020,1
86,3/26/2020,0
87,3/27/2020,0
88,3/28/2020,0
89,3/29/2020,1
90,3/30/2020,1
91,3/31/2020,0
92,4/1/2020,0
93,4/2/2020,1
94,4/3/2020,1
95,4/4/2020,0
96,4/5/2020,1
97,4/6/2020,1
98,4/7/2020,1
99,4/8/2020,0
100,4/9/2020,0
101,4/10/2020,1
102,4/11/2020,1
103,4/12/2020,0
104,4/13/2020,1
105,4/14/2020,1
106,4/15/2020,1
107,4/16/2020,0
108,4/17/2020,0
109,4/18/2020,1
110,4/19/2020,1
111,4/20/2020,2
112,4/21/2020,0
113,4/22/2020,0
114,4/23/2020,1
115,4/24/2020,0
116,4/25/2020,1
117,4/26/2020,0
118,4/27/2020,1
119,4/28/2020,1
120,4/29/2020,0
121,4/30/2020,0
122,4/31/20,0
123,5/1/2020,0
124,5/2/2020,1
125,5/3/2020,1
126,5/4/2020,0
127,5/5/2020,0
128,5/6/2020,1
129,5/7/2020,0
130,5/8/2020,1
131,5/9/2020,0
132,5/10/2020,1
133,5/11/2020,1
134,5/12/2020,1
135,5/13/2020,0
136,5/14/2020,2
137,5/15/2020,0
138,5/16/2020,0
139,5/17/2020,1
140,5/18/2020,1
141,5/19/2020,0
142,5/20/2020,1
143,5/21/2020,1
144,5/22/2020,0
145,5/23/2020,1
146,5/24/2020,0
147,5/25/2020,0
148,5/26/2020,1
149,5/27/2020,0
150,5/28/2020,1
151,5/29/2020,0
152,5/30/2020,0
153,5/31/2020,1
154,6/1/2020,1
155,6/2/2020,0
156,6/3/2020,1
157,6/4/2020,0
158,6/5/2020,1
159,6/6/2020,0
160,6/7/2020,1
161,6/8/2020,0
162,6/9/2020,0
163,6/10/2020,0
164,6/11/2020,1
165,6/12/2020,0
166,6/13/2020,1
167,6/14/2020,0
168,6/15/2020,0
169,6/16/2020,1
170,6/17/2020,0
171,6/18/2020,2
172,6/19/2020,0
173,6/20/2020,1
174,6/21/2020,0
175,6/22/2020,1
176,6/23/2020,0
177,6/24/2020,1
178,6/25/2020,0
179,6/26/2020,1
180,6/27/2020,0
181,6/28/2020,0
182,6/29/2020,0
183,6/30/2020,2
184,7/1/2020,0
185,7/2/2020,1
186,7/3/2020,1
187,7/4/2020,0
188,7/5/2020,1
189,7/6/2020,1
190,7/7/2020,1
191,7/8/2020,0
192,7/9/2020,0
193,7/10/2020,0
194,7/11/2020,1
195,7/12/2020,0
196,7/13/2020,1
197,7/14/2020,0
198,7/15/2020,1
199,7/16/2020,1
200,7/17/2020,0
201,7/18/2020,1
202,7/19/2020,0
203,7/20/2020,0
204,7/21/2020,1
205,7/22/2020,0
206,7/23/2020,0
207,7/24/2020,1
208,7/25/2020,1
209,7/26/2020,1
210,7/27/2020,0
211,7/28/2020,1
212,7/29/2020,0
213,7/30/2020,1
214,7/31/2020,0
215,8/1/2020,2
216,8/2/2020,1
217,8/3/2020,1
218,8/4/2020,0
219,8/5/2020,1
220,8/6/2020,0
221,8/7/2020,2
222,8/8/2020,1
223,8/9/2020,0
224,8/10/2020,1
225,8/11/2020,0
226,8/12/2020,1
227,8/13/2020,1
228,8/14/2020,1
229,8/15/2020,2
230,8/16/2020,2
231,8/17/2020,1
232,8/18/2020,0
233,8/19/2020,1
234,8/20/2020,2
235,8/21/2020,1
236,8/22/2020,1
237,8/23/2020,1
238,8/24/2020,1
239,8/25/2020,1
240,8/26/2020,1
241,8/27/2020,0
242,8/28/2020,0
243,8/29/2020,1
244,8/30/2020,1
245,8/31/2020,2
246,9/1/2020,0
247,9/2/2020,1
248,9/3/2020,1
249,9/4/2020,1
250,9/5/2020,1
251,9/6/2020,1
252,9/7/2020,1
253,9/8/2020,1
254,9/9/2020,1
255,9/10/2020,1
256,9/11/2020,1
257,9/12/2020,1
258,9/13/2020,0
259,9/14/2020,1
260,9/15/2020,1
261,9/16/2020,1
262,9/17/2020,1
263,9/18/2020,0
264,9/19/2020,1
265,9/20/2020,1
266,9/21/2020,1
267,9/22/2020,2
268,9/23/2020,1
269,9/24/2020,0
270,9/24/2020,1
271,9/25/2020,1
272,9/26/2020,0
273,9/27/2020,1
274,9/28/2020,1
275,9/29/2020,1
276,9/30/2020,0
277,10/1/2020,1
278,10/2/2020,1
279,10/3/2020,2
280,10/4/2020,0
281,10/5/2020,1
282,10/6/2020,1
283,10/7/2020,1
284,10/8/2020,1
285,10/9/2020,1
286,10/10/2020,1
287,10/11/2020,1
288,10/12/2020,1
289,10/13/2020,1
290,10/14/2020,1
291,10/15/2020,0
292,10/16/2020,1
293,10/17/2020,1
294,10/18/2020,1
295,10/19/2020,1
296,10/20/2020,1
297,10/21/2020,1
298,10/22/2020,0
299,10/23/2020,1
300,10/24/2020,0
301,10/25/2020,1
302,10/26/2020,1
303,10/27/2020,1
304,10/28/2020,1
305,10/29/2020,0
306,10/30/2020,1
307,10/31/2020,0
308,11/1/2020,1
309,11/2/2020,2
310,11/3/2020,0
311,11/4/2020,0
312,11/5/2020,1
313,11/6/2020,1
314,11/7/2020,0
315,11/8/2020,3
316,11/9/2020,1
317,11/10/2020,1
318,11/11/2020,1
319,11/12/2020,0
320,11/13/2020,1
321,11/14/2020,0
322,11/15/2020,1
323,11/16/2020,1
324,11/17/2020,0
325,11/18/2020,1
326,11/19/2020,0
327,11/20/2020,1
328,11/21/2020,1
329,11/22/2020,0
330,11/23/2020,1
331,11/24/2020,1
332,11/25/2020,2
333,11/26/2020,2
334,11/27/2020,1
335,11/28/2020,0
336,11/29/2020,0
337,11/30/2020,1
338,12/1/2020,1
339,12/2/2020,1
340,12/3/2020,0
341,12/4/2020,1
342,12/5/2020,1
343,12/6/2020,0
344,12/7/2020,2
345,12/8/2020,1
346,12/9/2020,2
347,12/10/2020,2
348,12/11/2020,1
349,12/12/2020,1
350,12/13/2020,1
351,12/14/2020,1
352,12/15/2020,2
353,12/16/2020,1
354,12/17/2020,1
355,12/18/2020,1
356,12/19/2020,1
357,12/20/2020,0
358,12/21/2020,1
359,12/22/2020,1
360,12/23/2020,1
361,12/24/2020,1
362,12/25/2020,1
363,12/26/2020,0
364,12/27/2020,1
365,12/28/2020,0
366,12/29/2020,2
367,12/30/2020,1
368,12/31/2020,1
369,,
370,1/1/2021,0
371,1/2/2021,2
372,1/3/2021,1
373,1/4/2021,1
374,1/5/2021,0
375,1/6/2021,2
376,1/7/2021,0
377,1/8/2021,1
378,1/9/2021,1
379,1/10/2021,0
380,1/11/2021,1
381,1/12/2021,1
382,1/13/2021,1
383,1/14/2021,2
384,1/15/2021,1
385,1/16/2021,0
386,1/17/2021,1
387,1/18/2021,1
388,1/19/2021,1
389,1/20/2021,0
390,1/21/2021,2
391,1/22/2021,1
392,1/23/2021,1
393,1/24/2021,1
394,1/25/2021,1
395,1/26/2021,1
396,1/27/2021,1
397,1/28/2021,1
398,1/29/2021,1
399,1/30/2021,1
400,1/31/2021,1
401,2/1/2021,2
402,2/2/2021,1
403,2/3/2021,1
404,2/4/2021,1
405,2/5/2021,1
406,2/6/2021,2
407,2/7/2021,0
408,2/8/2021,2
409,2/9/2021,4
410,2/10/2021,1
411,2/11/2021,1
412,2/12/2021,1
413,2/13/2021,1
414,2/14/2021,1
415,2/15/2021,1
416,2/16/2021,1
417,2/17/2021,1
418,2/18/2021,0
419,2/19/2021,0
420,2/20/2021,2
421,2/21/2021,0
422,2/22/2021,0
423,2/23/2021,1
424,2/24/2021,1
425,2/25/2021,1
426,2/26/2021,1
427,2/27/2021,1
428,2/28/2021,0
429,3/1/2021,1
430,3/2/2021,3
431,3/3/2021,2
432,3/4/2021,1
433,3/5/2021,1
434,3/6/2021,1
435,3/7/2021,1
436,3/8/2021,1
437,3/9/2021,2
438,3/10/2021,1
439,3/11/2021,1
440,3/12/2021,1
441,3/13/2021,0
442,3/14/2021,1
443,3/15/2021,1
444,3/16/2021,0
445,3/17/2021,1
446,3/18/2021,1
447,3/19/2021,1
448,3/20/2021,0
449,3/21/2021,1
450,3/22/2021,1
451,3/23/2021,0
452,3/24/2021,1
453,3/25/2021,0
454,3/26/2021,0
455,3/27/2021,0
456,3/28/2021,0
457,3/29/2021,1
458,3/30/2021,1
459,3/31/2021,1
460,4/1/2021,1
461,4/2/2021,0
462,4/3/2021,2
463,4/4/2021,2
464,4/5/2021,1
465,4/6/2021,2
466,4/7/2021,1
467,4/8/2021,1
468,4/9/2021,1
469,4/10/2021,1
470,4/11/2021,1
471,4/12/2021,2
472,4/13/2021,0
473,4/14/2021,1
474,4/15/2021,0
475,4/16/2021,2
476,4/17/2021,0
477,4/18/2021,
478,4/19/2021,
479,4/20/2021,
480,4/21/2021,
481,4/22/2021,
482,4/23/2021,
483,4/24/2021,
484,4/25/2021,
485,4/26/2021,
486,4/27/2021,
487,4/28/2021,
488,4/29/2021,
489,4/30/2021,
490,5/1/2021,
491,5/2/2021,
492,5/3/2021,
493,5/4/2021,
494,5/5/2021,
495,5/6/2021,
496,5/7/2021,
497,5/8/2021,
498,5/9/2021,
499,5/10/2021,
500,5/11/2021,
501,5/12/2021,
502,5/13/2021,
503,5/14/2021,
504,5/15/2021,
505,5/16/2021,
506,5/17/2021,
507,5/18/2021,
508,5/19/2021,
509,5/20/2021,
510,5/21/2021,
511,5/22/2021,
512,5/23/2021,
513,5/24/2021,
514,5/25/2021,
515,5/26/2021,
516,5/27/2021,
517,5/28/2021,
518,5/29/2021,
519,5/30/2021,
520,5/31/2021,
521,6/1/2021,
522,6/2/2021,
523,6/3/2021,
524,6/4/2021,
525,6/5/2021,
526,6/6/2021,
527,6/7/2021,
528,6/8/2021,
529,6/9/2021,
530,6/10/2021,
531,6/11/2021,2
532,6/12/2021,1
533,6/13/2021,1
534,6/14/2021,1
535,6/15/2021,1
536,6/16/2021,1
537,6/17/2021,1
538,6/18/2021,1
539,6/19/2021,1
540,6/20/2021,2
541,6/21/2021,1
542,6/22/2021,1
543,6/23/2021,2
544,6/24/2021,0
545,6/25/2021,1
546,6/26/2021,1
547,6/27/2021,2
548,6/28/2021,1
549,6/28/2021,1
550,6/29/2021,1
551,6/30/2021,1
552,7/1/2021,1
553,7/2/2021,1
554,7/3/2021,1
555,7/4/2021,2
556,7/5/2021,1
557,7/6/2021,0
558,7/7/2021,3
559,7/8/2021,1
560,7/9/2021,2
561,7/10/2021,1
562,7/11/2021,2
563,7/12/2021,1
564,7/13/2021,0
565,7/14/2021,1
566,7/15/2021,0
567,7/16/2021,2
568,7/17/2021,1
569,7/18/2021,2
570,7/19/2021,3
571,7/20/2021,1
572,7/21/2021,1
573,7/22/2021,1
574,7/23/2021,1
575,7/24/2021,1
576,7/25/2021,1
577,7/26/2021,0
578,7/27/2021,1
579,7/28/2021,1
580,7/29/2021,1
581,7/30/2021,1
582,7/31/2021,1
583,8/1/2021,1
584,8/2/2021,1
585,8/3/2021,1
586,8/4/2021,1
587,8/5/2021,1
588,8/6/2021,1
589,8/7/2021,0
590,8/8/2021,2
591,8/9/2021,0
592,8/10/2021,1
593,8/11/2021,1
594,8/12/2021,1
595,8/13/2021,1
596,8/14/2021,2
597,8/15/2021,1
598,8/16/2021,1
599,8/17/2021,1
600,8/18/2021,0
601,8/19/2021,1
602,8/20/2021,1
603,8/21/2021,2
604,8/22/2021,2
605,8/23/2021,2
606,8/24/2021,1
607,8/25/2021,3
608,8/26/2021,1
609,8/27/2021,1
610,8/28/2021,3
611,8/29/2021,2
612,8/30/2021,2
613,8/31/2021,2
614,9/1/2021,2
615,9/2/2021,2
616,9/3/2021,1
617,9/4/2021,1
618,9/5/2021,2
619,9/6/2021,2
620,9/7/2021,2
621,9/8/2021,1
622,9/9/2021,1
623,9/10/2021,1
624,9/11/2021,1
625,9/12/2021,1
626,9/13/2021,2
627,9/14/2021,1
628,9/15/2021,2
629,9/16/2021,1
630,9/17/2021,0
631,9/18/2021,1
632,9/19/2021,1
633,9/20/2021,2
634,9/21/2021,2
635,9/22/2021,1
636,9/23/2021,2
637,9/24/2021,2
638,9/25/2021,1
639,9/26/2021,1
640,9/27/2021,1
641,9/28/2021,1
642,9/29/2021,2
643,9/30/2021,1
644,10/1/2021,1
645,10/2/2021,1
646,10/3/2021,1
647,10/4/2021,1
648,10/5/2021,2
649,10/6/2021,1
650,10/7/2021,1
651,10/8/2021,1
652,10/9/2021,1
653,10/10/2021,1
654,10/11/2021,2
655,10/12/2021,1
656,10/13/2021,1
657,10/14/2021,2
658,10/15/2021,1
659,10/16/2021,2
660,10/17/2021,2
661,10/18/2021,2
662,10/19/2021,3
663,10/20/2021,2
664,10/21/2021,1
665,10/22/2021,2
666,10/23/2021,1
667,10/24/2021,1
668,10/25/2021,0
669,10/26/2021,1
670,10/27/2021,1
671,10/28/2021,1
672,10/29/2021,1
673,10/30/2021,1
674,10/31/2021,2
675,11/1/2021,0
676,11/2/2021,1
677,11/3/2021,1
678,11/4/2021,
679,11/5/2021,2
680,11/6/2021,0
681,11/7/2021,1
682,11/8/2021,1
683,11/9/2021,1
684,11/10/2021,1
685,11/11/2021,1
686,11/12/2021,1
687,11/13/2021,1
688,11/14/2021,2
689,11/15/2021,0
690,11/16/2021,1
691,11/17/2021,1
692,11/18/2021,1
693,11/19/2021,2
694,11/20/2021,1
695,11/21/2021,1
696,11/22/2021,1
697,11/23/2021,1
698,11/24/2021,2
699,11/25/2021,1
700,11/26/2021,0
701,11/27/2021,1
702,11/28/2021,1
703,11/29/2021,1
704,11/30/2021,1
705,12/1/2021,2
706,12/2/2021,2
707,12/3/2021,1
708,12/4/2021,1
709,12/5/2021,1
710,12/6/2021,3
711,12/7/2021,1
712,12/8/2021,1
713,12/9/2021,0
714,12/10/2021,1
715,12/11/2021,1
716,12/12/2021,1
717,12/13/2021,1
718,12/14/2021,1
719,12/15/2021,1
720,12/16/2021,1
721,12/17/2021,1
722,12/18/2021,0
723,12/19/2021,1
724,12/20/2021,1
725,12/21/2021,1
726,12/22/2021,1
727,12/23/2021,1
728,12/24/2021,2
729,12/25/2021,1
730,12/26/2021,1
731,12/27/2021,0
732,12/28/2021,0
733,12/29/2021,1
734,12/30/2021,0
735,12/31/2021,1
736,1/1/2022,1
737,1/2/2022,1
738,1/3/2022,1
